date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:31	222492/222492	---MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	/home/mubashar/websites/portfolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:03:33	110196/110196	URF---	200	added ('OK%20(cached)')	application/woff		http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	/home/mubashar/websites/portfolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:03:33	180492/180492	---MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	/home/mubashar/websites/portfolio/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
17:03:43	43703/43703	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-aab7%22	http://findmatthew.com/img/thumb-7.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-7.jpg	(from http://findmatthew.com/style/style.css)
17:03:44	179244/179244	---MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	/home/mubashar/websites/portfolio/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
17:03:49	28201/28201	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-6e29%22	http://findmatthew.com/img/thumb-8.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-8.jpg	(from http://findmatthew.com/style/style.css)
17:03:51	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5ff310-247b%22	http://findmatthew.com/img/thumb-10.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-10.40.delayed	(from http://findmatthew.com/style/style.css)
17:03:54	45331/45331	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-b113%22	http://findmatthew.com/img/thumb-9.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-9.jpg	(from http://findmatthew.com/style/style.css)
17:03:56	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f9757f1-247b%22	http://findmatthew.com/img/thumb-11.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-11.41.delayed	(from http://findmatthew.com/style/style.css)
17:04:03	222492/222492	UR-MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	/home/mubashar/websites/portfolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:04:07	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	http://findmatthew.com/img/thumb-12.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-12.42.delayed	(from http://findmatthew.com/style/style.css)
17:04:07	178520/178520	UR-MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	/home/mubashar/websites/portfolio/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
17:04:09	43703/43703	URF---	200	added ('OK%20(cached)')	image/jpeg		http://findmatthew.com/img/thumb-7.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-7.jpg	(from http://findmatthew.com/style/style.css)
17:04:10	28201/28201	URF---	200	added ('OK%20(cached)')	image/jpeg		http://findmatthew.com/img/thumb-8.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-8.jpg	(from http://findmatthew.com/style/style.css)
17:04:12	45331/45331	URF---	200	added ('OK%20(cached)')	image/jpeg		http://findmatthew.com/img/thumb-9.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-9.jpg	(from http://findmatthew.com/style/style.css)
17:04:12	180492/180492	UR-MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	/home/mubashar/websites/portfolio/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
17:04:23	179244/179244	UR-MCZ	200	added ('OK')	font/ttf	etag:W/%22603fdb87-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	/home/mubashar/websites/portfolio/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
17:04:32	491716/491716	---M--	200	added ('OK')	image/png	etag:%22603fdb87-780c4%22	http://findmatthew.com/img/filler.png	/home/mubashar/websites/portfolio/findmatthew.com/img/filler.png	(from http://findmatthew.com/style/style.css)
